编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-01555	冲孔冲头	直径: Φ16；长度: 150	工具/冲头	支	冲孔冲Φ16*150	材质/适配冲孔机缺失
REVIEW-MAT-01556	灭火器	灭火剂重量: 2KG	安全消防/灭火器	瓶	灭火器2KG | 灭火器2kg	状态：可建档 | 可合并；类型/介质/年检信息缺失 | 与2522同类，类型/年检信息缺失 | 与3473同类，类型/年检信息缺失
REVIEW-MAT-01557	三通	公称通径: DN50；类型: 三通	管件/金属管件	只	DN50三通	材质/连接方式/压力等级缺失
REVIEW-MAT-01558	三通	公称通径: DN65；类型: 三通	管件/金属管件	只	DN65三通	材质/连接方式/压力等级缺失
REVIEW-MAT-01559	带灯按钮开关	品牌: 施耐德；类型: 带灯按钮开关	电气/按钮开关	只	施耐德灯带按钮开关	电压/颜色/触点形式/型号缺失
REVIEW-MAT-01560	电流表	变比: 600/5A；类型: 电流表	仪表/电气仪表	只	电流表600/5A	表径/精度/安装方式缺失
REVIEW-MAT-01561	重型矿井卡箍	品牌: 迈克；规格: DN150；类型: 重型矿井卡箍	管夹/卡箍	只	迈克重型矿井卡箍DN150	材质/压力等级/密封圈规格缺失
REVIEW-MAT-01562	膨胀螺丝	规格: M12*100	紧固件/膨胀螺丝	支	膨胀螺丝M12*100	材质/表面处理缺失
REVIEW-MAT-01563	液压对丝接头	螺纹: M20*1.5；类型: 对丝	液压/高压管路	只	液压接头m20*1.5对丝	原始小写m保留，材质/压力等级缺失
REVIEW-MAT-01564	自喷漆	颜色: 绿色	油漆涂料/自喷漆	瓶	绿色自喷漆	品牌/容量/色号缺失
REVIEW-MAT-01565	三通	公称通径: DN40；类型: 三通	管件/金属管件	只	DN40三通	材质/连接方式/压力等级缺失
REVIEW-MAT-01566	冷暖空调	品牌: 美的；匹数: 大1.5匹；功能: 冷暖	行政后勤/空调设备	台	美的大1.5匹冷暖空调	型号/能效等级缺失
REVIEW-MAT-01567	自喷漆	颜色: 中黄	油漆涂料/自喷漆	瓶	中黄自喷漆	品牌/容量/色号缺失
REVIEW-MAT-01568	透明PC板	材质: PC；颜色: 透明；尺寸: 1m*1.5m；厚度: 3mm	塑料板材/PC板	块	透明PC板1m*1.5m*3mm	品牌/等级缺失
REVIEW-MAT-01569	封箱胶带	类型: 封箱带	包装材料/胶带	卷	封箱带	宽度/长度/颜色缺失
REVIEW-MAT-01570	记号笔	品牌: 得力；颜色: 黑色	办公用品/书写工具	支	得力黑色记号笔	型号/粗细缺失
REVIEW-MAT-01571	防锈漆	品牌: 立邦；颜色: 白色；包装: 18KG	油漆涂料/防锈漆	桶	立邦白色防锈漆18KG | 立邦白色防锈漆18kg	状态：可建档 | 可合并；型号/适用底材缺失 | 与2541同类，型号/SDS缺失
REVIEW-MAT-01572	稀释剂	品牌: 立邦；包装: 12KG	油漆涂料/稀释剂	桶	立邦稀释剂12KG	型号/适配漆种/SDS缺失
REVIEW-MAT-01573	带盖整理箱	尺寸: 800*800*600；配置: 带盖	行政后勤/收纳用品	只	整理箱带盖800*800*600	材质/容量缺失
REVIEW-MAT-01574	钻头	品牌: 博世；规格: M12*200	工具/钻头	支	博世钻头m12*200	M12是否直径Φ12需确认，柄型/材质缺失
REVIEW-MAT-01575	钻头	品牌: 博世；规格: M14*200	工具/钻头	支	博世钻头m14*200	M14是否直径Φ14需确认，柄型/材质缺失
REVIEW-MAT-01576	角钢	规格: 40*40	钢材/型钢	根	角铁40*40	厚度/长度/材质缺失
REVIEW-MAT-01577	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 2.5米	液压/高压管路	根	胶管36*2-2层-2.5米	压力等级/接头形式缺失
REVIEW-MAT-01578	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 10米	液压/高压管路	根	胶管36*2-2层-10米	压力等级/接头形式缺失
REVIEW-MAT-01579	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 11米	液压/高压管路	根	胶管36*2-2层-11米	压力等级/接头形式缺失
REVIEW-MAT-01580	胶管总成	螺纹/规格: 36*2；层数: 2层；长度: 15米	液压/高压管路	根	胶管36*2-2层-15米	压力等级/接头形式缺失
REVIEW-MAT-01581	重型管夹	规格: 36；类型: 重型管夹	管夹/管路固定件	只	重型管夹36	材质/安装孔距缺失
REVIEW-MAT-01582	重型六联管夹	联数: 6联；类型: 重型	管夹/管路固定件	组	重型6联管夹	规格/材质/安装孔距缺失
REVIEW-MAT-01583	直角接头加工件	加工: 是；规格: 36*3/36*2；类型: 直角接头	定制件/管路接头	只	加工直角接头36*3/36*2	状态：可合并；与2373同类，图纸/材质/压力等级缺失
REVIEW-MAT-01584	变径对丝接头	规格: 25*2/36*2；类型: 变径对丝	液压/高压管路	只	变径对丝25*2/36*2	材质/压力等级/螺纹标准缺失
REVIEW-MAT-01585	胶管总成	螺纹: M20*1.5；层数: 2层；长度: 1米	液压/高压管路	根	胶管M20*1.5-2层-1米	压力等级/接头形式缺失
REVIEW-MAT-01586	胶管总成	螺纹: M20*1.5；层数: 2层；长度: 0.5米	液压/高压管路	根	胶管M20*1.5-2层-0.5米	压力等级/接头形式缺失
REVIEW-MAT-01587	三通接头	螺纹: 20*1.5；类型: 三通	液压/高压管路	只	20*1.5三通	材质/压力等级缺失
REVIEW-MAT-01588	对丝接头	螺纹: 20*1.5；类型: 对丝	液压/高压管路	只	20*1.5对丝	状态：可合并；与2401同规格可能同类，材质/压力等级缺失
REVIEW-MAT-01589	不锈钢室外箱	材质: 不锈钢；安装环境: 室外；尺寸: 500*600*300	电气/配电箱壳体	只	不锈钢室外箱500*600*300	防护等级/板厚缺失
REVIEW-MAT-01590	滤芯	进口: 是；尺寸: Φ160*505	设备备件/过滤器滤芯	只	进口滤芯Φ160*505	过滤精度/材质/适配型号缺失
REVIEW-MAT-01591	搅拌机叶轮	材质: 不锈钢；适配型号: QJB-960S；部件: 叶轮	设备备件/搅拌机配件	只	不锈钢搅拌机叶轮QJB-960S	叶轮直径/厂家缺失
REVIEW-MAT-01592	AB胶	品牌: 三和；类型: AB胶	胶粘剂/结构胶	支	三和AB胶	容量/型号/颜色缺失
REVIEW-MAT-01593	五孔插座	品牌: 德力西；类型: 五孔插座	电气/插座	只	德力西五孔插座	额定电流/安装方式缺失
REVIEW-MAT-01594	自攻螺丝	规格: M4*10	紧固件/自攻螺丝	盒	M4*10自攻丝	每盒数量/材质/头型缺失
REVIEW-MAT-01595	螺丝套件	规格: M8*20；类型: 螺丝	紧固件/螺丝套件	套	M8*20螺丝	套包含内容/材质/强度等级缺失
REVIEW-MAT-01596	导轨式五孔插座	品牌: 德力西；安装: 导轨式；类型: 五孔插座	电气/插座	只	德力西带导轨五孔插座	额定电流/型号缺失
REVIEW-MAT-01597	不锈钢支架水桶	材质: 304；配置: 支架；容量: 1T	容器/水桶水箱	只	304支架水桶1T	尺寸/厚度/接口缺失
REVIEW-MAT-01598	污水井盖	用途: 污水；规格: 580	建筑材料/井盖	个	污水井盖580	材质/承重等级/外径内径缺失
REVIEW-MAT-01599	太阳能4G监控摄像头	通信: 4G；供电: 太阳能；清晰度: 4K；存储: 30天循环	弱电安防/监控设备	套	4G太阳能探头4K30天循环	品牌/存储容量/是否含流量卡缺失
REVIEW-MAT-01600	自喷漆	品牌: 三和；颜色: 灰色	油漆涂料/自喷漆	瓶	三和灰色自喷漆	容量/色号缺失
REVIEW-MAT-01601	桶装水抽水器套装	品牌: 子路；包含: 抽水器+充电器	行政后勤/饮水设备	套	子路桶装水抽水器+充电器	型号/电池容量缺失
REVIEW-MAT-01602	工业防潮剂	用途: 工业；包装: 1KG	化工耗材/防潮剂	包	工业防潮剂1KG	成分/适用范围缺失
REVIEW-MAT-01603	太阳能4G监控套装	供电: 太阳能；通信: 4G；套装: 三件套	弱电安防/监控设备	套	太阳能4G监控三件套	三件套明细/品牌/存储缺失
REVIEW-MAT-01604	变频器操作面板	部件: 操作面板；适配设备: 变频器	自动化/变频器配件	只	变频器操作面板	适配品牌/型号缺失
REVIEW-MAT-01605	胶管总成	规格: 36*2H；层数: 2层；长度: 2.5米	液压/高压管路	根	胶管36*2H-2层-2.5米	H含义/压力等级/接头形式缺失
REVIEW-MAT-01606	胶管总成	规格: 36*2H；层数: 2层；长度: 1米	液压/高压管路	根	胶管36*2H-2层-1米	H含义/压力等级/接头形式缺失
REVIEW-MAT-01607	胶管总成	规格: 36*2H；层数: 2层；长度: 3.4米	液压/高压管路	根	胶管36*2H-2层-3.4米	H含义/压力等级/接头形式缺失
REVIEW-MAT-01608	胶管总成	规格: 36*2H；层数: 2层；长度: 12米	液压/高压管路	根	胶管36*2H-2层-12米	H含义/压力等级/接头形式缺失
REVIEW-MAT-01609	胶管总成	规格: 36*2H；层数: 2层；长度: 10米	液压/高压管路	根	胶管36*2H-2层-10米	H含义/压力等级/接头形式缺失
REVIEW-MAT-01610	胶管总成	规格: 36*2H；层数: 2层；长度: 11米	液压/高压管路	根	胶管36*2H-2层-11米	H含义/压力等级/接头形式缺失
REVIEW-MAT-01611	胶管总成	规格: 36*2H；层数: 2层；长度: 14米	液压/高压管路	根	胶管36*2H-2层-14米	H含义/压力等级/接头形式缺失
REVIEW-MAT-01612	螺纹锁固胶	品牌: 乐泰；型号: 243	胶粘剂/螺纹锁固胶	只	乐泰243胶水	状态：可建档 | 可合并；容量/包装单位需确认 | 与2594同类，容量/包装单位需确认
REVIEW-MAT-01613	百兆交换机	品牌: 海康威视；端口: 5口；速率: 百兆	弱电安防/网络设备	台	海康威视5口百兆交换机	是否PoE/型号缺失
REVIEW-MAT-01614	刀开关手柄	型号: HD13；额定电流: 1000A；部件: 手柄	电气/开关配件	套	HD13刀开关手柄1000A	适配刀开关规格/厂家缺失
REVIEW-MAT-01615	带盖方桶	材质: 牛筋；容量: 6L；配置: 带盖；地点备注: 蕰川路	容器/塑料桶	只	牛筋带盖方桶6L（蕰川路）	地点不进标准名，尺寸/颜色缺失
REVIEW-MAT-01616	加厚油布	尺寸: 12米*12米；特征: 加厚	覆盖材料/油布	㎡	加厚油布12米*12米	材质/克重/防水等级缺失
REVIEW-MAT-01617	加厚油布	尺寸: 10米*8米；特征: 加厚	覆盖材料/油布	㎡	加厚油布10米*8米	材质/克重/防水等级缺失
REVIEW-MAT-01618	油漆滚筒	规格: 大号；用途: 油漆	涂装工具/滚筒	只	大油漆滚筒 | 油漆滚筒大号	状态：可建档 | 可合并；尺寸/毛长缺失 | 与2614同类，尺寸/毛长缺失 | 与2614同类
REVIEW-MAT-01619	彩条布	颜色: 三色；尺寸: 4m*30m	覆盖材料/彩条布	㎡	三色彩条布4m*30m	克重/材质缺失
REVIEW-MAT-01620	泥桶	用途: 泥浆/砂浆	施工工具/桶具	只	泥桶	状态：可建档 | 可合并；容量/材质缺失 | 与2616同类，容量/材质缺失
REVIEW-MAT-01621	羊毛刷	规格: 3寸；材质: 羊毛	涂装工具/刷子	把	羊毛刷3寸	状态：可建档 | 可合并；柄型/等级缺失 | 与2617同类
REVIEW-MAT-01622	防锈漆	品牌: 立邦；颜色: 桔黄色；包装: 18kg	油漆涂料/防锈漆	桶	立邦桔黄色防锈漆18kg	型号/SDS缺失
REVIEW-MAT-01623	松香水	包装: 12KG；类型: 松香水	油漆涂料/稀释清洗剂	桶	松香水12KG	品牌/用途/SDS缺失
REVIEW-MAT-01624	防锈漆	品牌: 立邦；颜色: 深黄；包装: 18KG	油漆涂料/防锈漆	桶	立邦深黄防锈漆18KG	型号/SDS缺失
REVIEW-MAT-01625	防锈漆	品牌: 立邦；颜色: 黑色；包装: 18KG	油漆涂料/防锈漆	桶	立邦黑色防锈漆18KG	型号/SDS缺失
REVIEW-MAT-01626	防锈漆	品牌: 立邦；颜色: 大红；包装: 18KG	油漆涂料/防锈漆	桶	立邦大红防锈漆18KG	型号/SDS缺失
REVIEW-MAT-01627	防锈漆	品牌: 立邦；颜色: 淡黄灰；包装: 18KG	油漆涂料/防锈漆	桶	立邦淡黄灰防锈漆18KG	型号/SDS缺失
REVIEW-MAT-01628	防锈漆	品牌: 立邦；颜色: 桔红；包装: 18KG	油漆涂料/防锈漆	桶	立邦桔红防锈漆18KG	型号/SDS缺失
REVIEW-MAT-01629	防锈漆	品牌: 立邦；颜色: 铁红；包装: 18KG	油漆涂料/防锈漆	桶	立邦铁红防锈漆18KG | 立邦铁红防锈漆18kg	状态：可建档 | 可合并；型号/SDS缺失 | 与2626同类，型号/SDS缺失
REVIEW-MAT-01630	稀释剂	包装: 12kg	油漆涂料/稀释剂	桶	稀释剂12kg | 稀释剂12KG	状态：可合并；与2542同类，品牌/适配漆种/SDS缺失 | 与2627同类，品牌/适配漆种/SDS缺失 | 与2627同类，品牌/SDS缺失
REVIEW-MAT-01631	油漆滚筒	规格: 小号；用途: 油漆	涂装工具/滚筒	只	小油漆滚筒 | 油漆滚筒小号	状态：可建档 | 可合并；尺寸/毛长缺失 | 与2629同类
REVIEW-MAT-01632	羊毛刷	规格: 2寸；材质: 羊毛	涂装工具/刷子	把	羊毛刷2寸	状态：可建档 | 可合并；柄型/等级缺失 | 与2631同类
REVIEW-MAT-01633	不锈钢烟灰桶	材质: 不锈钢；类型: 烟灰桶	行政后勤/清洁用品	只	不锈钢烟灰桶	容量/尺寸缺失
REVIEW-MAT-01634	钢丝轮	用途: 打磨；类型: 钢丝轮	磨具磨料/钢丝轮	只	打磨钢丝轮	外径/孔径/丝径缺失
REVIEW-MAT-01635	护目镜	类型: 多功能护目眼镜	劳保耗材/眼面防护	付	多功能护目眼镜	防护等级/材质缺失
REVIEW-MAT-01636	帆布手套	材质: 帆布	劳保耗材/手套	付	帆布手套	状态：可合并；与2296同类，尺码缺失 | 与2636同类，尺码缺失
REVIEW-MAT-01637	橡胶手套	材质: 橡胶	劳保耗材/手套	付	橡胶手套	状态：可建档 | 可合并；尺码/长度/耐化学等级缺失 | 与2637同类，尺码/长度缺失
REVIEW-MAT-01638	角磨机	品牌: 东城；类型: 角磨机	电动工具/角磨机	台	东城角磨机	功率/砂轮片规格/型号缺失
REVIEW-MAT-01639	防尘面罩	品牌: 3M；类型: 防尘面罩	劳保耗材/呼吸防护	只	3M防尘面罩	型号/防护等级缺失
REVIEW-MAT-01640	防尘面罩过滤芯	品牌: 3M；适配: 防尘面罩；部件: 过滤芯	劳保耗材/呼吸防护	只	3M防尘面罩过滤芯	适配型号/过滤等级缺失
REVIEW-MAT-01641	钢制铭牌	定制: 是；材质: 钢制	定制件/标识铭牌	件	定制铭牌钢制	状态：可建档-定制件；尺寸/文字内容/图纸缺失
REVIEW-MAT-01642	槽钢	规格: 10#	钢材/型钢	米	10#槽钢 | 10#型槽钢 | 槽钢10#	状态：可建档 | 可合并；材质/标准/长度缺失 | 与2644同类，材质/标准缺失
REVIEW-MAT-01643	槽钢	规格: 8#	钢材/型钢	米	8#槽钢	材质/标准/长度缺失
REVIEW-MAT-01644	拖线板	品牌: 公牛；线长: 3m；插位: 6位	电气/插排	只	公牛拖线板3m6位	额定电流/型号缺失
REVIEW-MAT-01645	牛筋手套	材质/俗称: 牛筋	劳保耗材/手套	付	牛筋手套	状态：可建档 | 可合并；材质是否乳胶/橡胶需确认，尺码缺失 | 与2647同类，尺码缺失
REVIEW-MAT-01646	抹布	类型: 抹布	清洁耗材/抹布	KG	抹布	状态：可合并；与2518同类，材质/包装缺失
REVIEW-MAT-01647	蛇皮袋	类型: 蛇皮袋	包装材料/编织袋	条	蛇皮袋	状态：可建档 | 可合并；尺寸/承重缺失 | 与2649同类，尺寸/承重缺失 | 与3626同类，尺寸/承重/材质缺失
REVIEW-MAT-01648	马夹袋	类型: 马夹袋	包装材料/塑料袋	条	马夹袋	尺寸/厚度缺失
REVIEW-MAT-01649	三脚插头	品牌: 公牛；类型: 三插头	电气/插头插座	只	公牛三插头	额定电流/型号缺失
REVIEW-MAT-01650	插线板	品牌: 公牛；插位: 6位；线长: 3米	电气/插排	只	公牛6位对插线板3米	`对插线板`是否拖线板需确认，型号缺失
REVIEW-MAT-01651	拖线板	品牌: 公牛；线长: 6米	电气/插排	只	公牛拖线板6米	插位数/额定电流缺失
REVIEW-MAT-01652	螺纹灯座	类型: 螺纹灯座	电气/照明配件	只	螺纹灯座	规格E27/E40等缺失
REVIEW-MAT-01653	百叶轮	类型: 百叶轮	磨具磨料/百叶轮	片	百叶轮	外径/孔径/粒度缺失
REVIEW-MAT-01654	彩条布	宽度: 4米	覆盖材料/彩条布	㎡	彩条布4米	长度/克重/材质缺失
REVIEW-MAT-01655	油布	尺寸: 4米*6米	覆盖材料/油布	㎡	油布4米*6米	状态：可建档 | 可合并；材质/克重/防水等级缺失 | 与2657同类，材质/克重缺失
REVIEW-MAT-01656	十字螺丝刀	品牌: 世达；类型: 十字	工具/手动工具	把	世达螺丝刀十字	规格/杆长缺失
REVIEW-MAT-01657	铁丝	规格: 14#；材质: 铁	五金耗材/金属丝	KG	铁丝14#	状态：可建档 | 可合并；表面处理/线径换算缺失 | 与2659同类，表面处理缺失
REVIEW-MAT-01658	重油污除污剂	用途: 重油污；包装: 30KG	清洁化学品/除污剂	桶	重油污除污剂30KG	状态：可建档 | 可合并；品牌/SDS/适用材质缺失 | 与2660同类，品牌/SDS缺失
REVIEW-MAT-01659	耦合剂	容量: 100mL	检测耗材/耦合剂	支	耦合剂100mL	用途/品牌/型号缺失
REVIEW-MAT-01660	安全绳	直径: Φ14	安全防护/安全绳	米	安全绳Φ14	状态：可建档 | 可合并；材质/认证/破断拉力缺失 | 与2662同类，材质/认证缺失
REVIEW-MAT-01661	药芯焊丝	品牌: 大西洋；类型: 药芯；直径: 1.2	焊接材料/焊丝	盘	大西洋药芯焊丝1.2	状态：可建档 | 可合并；牌号/重量/适用材质缺失 | 与2663同类，牌号/重量缺失
REVIEW-MAT-01662	吹尘枪	品牌: 世达；类型: 吹尘枪	工具/气动工具	把	世达吹尘枪	接口规格/型号缺失
REVIEW-MAT-01663	内六角螺栓	强度等级: 10.9；规格: M12*100；头型: 内六角	紧固件/螺栓	只	10.9级M12*100内六角螺栓	材质/表面处理缺失
REVIEW-MAT-01664	劳动车	特征: 加厚；类型: 劳动车	物流搬运/手推车	辆	加厚劳动车	载重/轮型/尺寸缺失
REVIEW-MAT-01665	老虎钳	品牌: 世达；类型: 老虎钳	工具/手动工具	把	世达老虎钳	规格/型号缺失
REVIEW-MAT-01666	两用扳手	品牌: 世达；规格: M16；类型: 梅花开口两用	工具/手动工具	把	世达M16梅花开口两用扳手	长度/型号缺失
REVIEW-MAT-01667	不锈钢螺母	材质: 304；规格: M6	紧固件/螺母	只	304螺帽M6	标准/牙距缺失
REVIEW-MAT-01668	不锈钢加厚垫片	材质: 304；规格: M6；特征: 加厚	紧固件/垫圈	只	304加厚垫片M6	外径/厚度/标准缺失
REVIEW-MAT-01669	角钢	规格: 50*50	钢材/型钢	米	角钢50*50 | 角铁50*50	状态：可建档 | 可合并；厚度/材质/标准缺失 | 与2672同类，厚度/材质缺失
